Sports,Discipline,"""Anabolic Agents S1.""","""Peptide Hormones, Growth Factors and Related Substances S2.""","""Beta‐2 Agonists S3.""","""Hormone and Metabolic Modulators S4.""","""Diuretics and Other Masking Agents S5.""","""Stimulants S6.""","""Narcotics S7.""","""Cannabinoids S8.""","""Glucocortico‐ steroids S9.""","""Alcohol P1.""","""Beta‐ Blockers P2.""","""Enhancement of Oxygen Transfer M1.""","""Chemical and Physical Manipulation M2.""",Sub total
,Rugby Union,-,-,-,-,-,-,3,-,-,-,-,-,-,3
,Sailing,1,-,-,-,1,-,-,-,-,-,-,-,-,2
Sailing,,,,,,,,,,,,,,,
,Laser-R,-,-,-,-,-,-,-,1,-,-,-,-,-,1
Shooting,Shooting,-,-,2,1,4,2,-,1,-,-,1,-,-,11
,Shotgun,4,-,-,-,-,-,-,-,-,-,-,-,-,4
Table Tennis,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-
,Sparring,3,-,-,1,4,1,-,-,-,-,-,-,-,9
Taekwondo,Taekwondo,2,-,-,-,-,-,-,-,-,-,-,-,-,2
,Poomsae,-,-,1,-,1,-,-,-,-,-,-,-,-,2
Tennis,-,3,-,-,2,5,16,1,3,4,-,-,-,-,-
,Triathlon,5,3,1,-,4,3,-,-,4,-,-,-,-,20
,Duathlon,-,-,2,-,-,-,-,-,1,-,-,-,-,3
Triathlon,Aquathlon,1,-,-,-,-,-,-,-,-,-,-,-,-,1
,Cross Triathlon,-,-,-,-,-,1,-,-,-,-,-,-,-,1
,Long Distance,-,-,1,-,-,-,-,-,-,-,-,-,-,1
Volleyball,Volleyball,10,-,3,-,1,3,-,1,-,-,-,-,-,18
,Beach,1,-,-,-,2,2,-,-,2,-,-,-,-,7
Weightlifting,Weightlifting,129,3,8,12,25,23,1,2,3,-,-,-,-,-
,Wrestling,20,2,3,6,12,11,-,3,1,-,-,-,-,58
,Freestyle,8,-,-,1,4,4,-,1,-,-,-,-,-,18
,Greco-Roman,4,-,1,3,1,-,-,1,2,-,-,-,-,12
Wrestling,Traditional Wrestling,7,-,-,2,-,-,-,-,-,-,-,-,-,9
,Grappling,7,-,-,1,-,-,-,-,-,-,-,-,-,8
,Women's Freestyle,-,-,-,-,1,-,-,-,-,-,-,-,-,1
,Pankration,-,-,-,-,-,-,-,1,-,-,-,-,-,1
,Hang Gliding & Paragliding,-,-,1,-,-,-,-,-,-,-,-,-,-,1
Biathlon,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
,Skeleton,-,-,-,-,2,3,-,-,-,-,-,-,-,5
Bobsleigh,,,,,,,,,,,,,,,
,Bobsleigh,-,-,-,1,-,4,-,-,-,-,-,-,-,5
Ice Hockey,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Luge,-,4,-,5,4,1,17,-,1,2,-,-,-,-,-
,Luge,1,-,-,-,-,-,-,1,-,-,-,-,-,2
,Figure Skating,-,-,-,-,2,1,-,-,-,-,-,-,-,3
Skating,,,,,,,,,,,,,,,
,Speed Skating 1500m or less,2,-,-,-,-,-,-,-,-,-,-,-,-,2
,Speed Skating greater than 1500m,-,-,-,1,-,-,-,-,-,-,-,-,-,1
,Cross-Country,-,1,1,4,3,-,-,-,-,-,-,-,-,9
,Snowboard,-,-,-,-,-,2,-,1,-,-,-,-,-,3
Skiing,,,,,,,,,,,,,,,
,Alpine,-,-,-,-,1,-,-,1,-,-,-,-,-,2
,Freestyle,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Boules Sports,,,,,,,,,,,,,,,
,Boules Sports,1,-,-,-,-,-,-,-,-,-,-,-,-,1
Bowling,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-
Bridge,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-
Cheer,-,1,-,1,1,-,4,-,1,-,-,-,-,-,-
Chess,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Cricket,-,1,-,1,-,-,1,-,1,2,-,-,-,-,-
,Latin,-,-,-,-,-,4,-,-,-,-,-,-,-,4
DanceSport,,,,,,,,,,,,,,,
,DanceSport,-,-,-,-,-,2,-,-,-,-,-,-,-,2
Floorball,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-
Karate,-,2,1,2,-,-,2,-,3,-,-,-,-,-,-
Korfball,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pool,-,-,1,-,-,1,-,-,-,-,-,-,-,2
Life Saving,Lifesaving,-,-,-,-,-,-,-,-,1,-,-,-,-,1
,Ocean,-,-,-,-,-,1,-,-,-,-,-,-,-,1
,Motorcycle Racing,-,-,-,-,-,1,-,2,-,-,-,-,-,3
,Enduro,-,-,-,-,-,2,-,-,-,-,-,-,-,2
,Supercross,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Motorcycling,Speedway,-,-,-,1,-,-,-,-,-,-,-,-,-,1
,Supermoto,-,-,-,-,-,-,-,1,-,-,-,-,-,1
,Motocross,-,-,-,-,1,-,-,-,-,-,-,-,-,1
,Road Racing,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Mountaineering and Climbing,Ice Climbing,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Muaythai,-,1,-,-,-,11,2,-,9,-,-,-,-,-,-
,Orienteering,-,-,-,-,-,-,-,-,2,-,-,-,-,2
,Mountain Bike Orienteering,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Orienteering,,,,,,,,,,,,,,,
,Trail Orienteering,-,-,-,-,1,-,-,-,-,-,-,-,-,1
,Ski Orienteering,-,-,-,1,-,-,-,-,-,-,-,-,-,1
,Aquabike,2,-,-,-,-,-,-,-,-,-,-,-,-,2
Powerboating,Offshore,-,-,-,-,-,-,-,-,1,-,-,-,-,1
,Circuit,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Racquetball,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
,Rink Hockey (R),2,-,-,-,-,-,-,-,-,-,-,-,-,2
,Inline Speed Skating Sprint 1000m or less,1,-,-,-,-,-,-,-,1,-,-,-,-,2
,Hockey,-,-,1,1,-,-,-,-,-,-,-,-,-,2
Roller Sports,,,,,,,,,,,,,,,
,Inline Hockey (R),-,-,-,-,-,2,-,-,-,-,-,-,-,2
,Inline Speed Skating Distance greater than 1000m,-,-,-,-,-,1,-,-,-,-,-,-,-,1
,Alpine & Downhill,1,-,-,-,-,-,-,-,-,-,-,-,-,1
Ski Mountaineering,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-
Sport Climbing,Speed,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Squash,-,-,-,1,-,-,1,-,-,2,-,-,-,-,-
Sumo,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Surfing,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
Tug of War,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
,Finswimming Pool,1,-,-,1,-,1,-,1,-,-,-,-,-,4
,UW Orienteering,-,-,-,-,2,-,-,-,-,-,-,-,-,2
Underwater Sports,,,,,,,,,,,,,,,
,UW Rugby,-,-,-,-,-,-,-,-,1,-,-,-,-,1
,Finswimming Open Water,-,-,1,-,-,-,-,-,-,-,-,-,-,1
,Cable Wakeboard,3,-,-,-,-,-,-,-,-,-,-,-,-,3
Waterskiing,,,,,,,,,,,,,,,
,Racing Water Ski,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Wushu,Sanda,5,-,-,1,3,1,-,-,-,-,-,-,-,-
Aikido,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Bodybuilding,504,3,4,53,122,18,-,11,-,-,-,-,-,715
Bodybuilding,,,,,,,,,,,,,,,
,Fitness,143,-,4,19,45,4,1,1,2,-,-,-,-,219
Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cheer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Darts,-,-,-,-,-,-,5,1,-,-,-,2,-,-,-
Dragon Boat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Draughts,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Fistball,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Go,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Icestocksport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ju-Jitsu,-,3,2,-,1,1,2,-,-,-,-,-,-,-,-
Kendo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Kickboxing,16,1,1,6,6,3,-,7,3,-,-,-,-,43
,Pancrace,3,-,-,1,1,-,-,-,2,-,-,-,-,7
,Low Kick,2,-,-,-,2,-,-,-,-,-,-,-,-,4
Kickboxing,,,,,,,,,,,,,,,
,K1 Rules,-,-,-,-,-,1,-,2,-,-,-,-,-,3
,Full Contact,-,-,-,-,3,-,-,-,-,-,-,-,-,3
,Kick Light,-,-,1,-,-,-,-,-,-,-,-,-,-,1
Lacrosse,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Minigolf,Minigolf,-,-,-,-,3,-,-,-,-,-,-,-,-,-
,Powerlifting,151,4,5,32,34,31,1,7,-,-,-,-,1,266
Powerlifting,Force Athletique,21,-,-,6,1,4,-,1,1,-,-,-,-,34
,Bench Press,9,-,1,1,1,-,-,-,-,-,-,-,-,12
Sambo,Sambo,-,1,-,1,2,1,-,-,-,-,-,-,-,-
Savate,Savate,-,-,-,-,-,-,-,-,2,-,-,-,-,-
Sepaktakraw,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sleddog,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Soft Tennis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Fresh Water Sport Fishing,-,-,-,-,2,-,-,-,-,-,-,-,-,2
Sport Fishing,Sport Fishing,-,-,-,-,-,-,-,1,-,-,-,-,-,1
,Fly Sport Fishing,-,-,-,-,-,-,-,1,-,-,-,-,-,1
,Sprint 400m or less,2,-,-,-,6,-,-,-,-,-,-,-,-,8
,Throws,-,1,-,-,3,1,1,1,-,-,-,-,-,7
Para-Athletics,Middle Distance 800-1500m,-,-,-,-,1,1,2,-,-,-,-,-,-,4
,Para-Athletics,-,-,2,-,-,-,-,-,-,-,-,-,-,2
,Long Distance 3000m and greater,-,1,1,-,-,-,-,-,-,-,-,-,-,2
,Jumps,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Para-Biathlon,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Para-DanceSport,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Para-Ice Hockey,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-
Para-Powerlifting,-,17,1,-,2,-,1,2,-,-,-,-,-,-,-
Para-Alpine Skiing,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
Para-Cross Country Skiing,Sprint/Short Distance,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Para-Snowboard,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Para-Swimming,Middle Distance 200-400m,1,-,-,-,1,2,-,-,2,-,-,-,-,6
,Sprint 100m or less,-,-,-,-,-,4,-,-,-,-,-,-,-,4
